13084.50793	129.9942224	43331.40748
15426.06179	129.0504412	43016.81373
35883.73864	96.42223973	32140.74658
38272.49698	97.83772129	32612.57376
40815.65027	92.29748633	30765.82878
43531.73679	92.29748633	30765.82878
83481.35566	77.48908029	25829.69343
84685.12045	77.48908029	25829.69343
150070.5025	56.23413252	18744.71084
269838.8514	47.55708096	15852.36032
238975.3568	55.01819384	18339.39795
253068.6463	56.23413252	18744.71084
359389.206	55.82586269	18608.6209
356748.9963	48.60812408	16202.70803
532637.1195	46.86904192	15623.01397
588822.3134	48.96360861	16321.20287
1837201.889	40.51304969	13504.3499
2074945.166	40.51304969	13504.3499
